Timecode List:,00:00:11.333,00:00:14.333,00:00:16.958,00:00:19.458,00:00:20.208,00:00:21.875,00:00:25.250,00:00:29.042,00:00:31.333,00:00:33.542,00:00:35.792,00:00:37.833,00:00:40.542,00:00:43.375,00:00:44.250,00:00:45.083,00:00:47.583,00:00:54.792,00:01:01.292,00:01:07.583,00:01:10.667,00:01:11.375,00:01:13.333,00:01:14.375,00:01:15.500,00:01:23.042,00:01:25.000,00:01:25.750,00:01:27.250,00:01:28.000,00:01:32.333,00:01:33.958,00:01:35.958,00:01:49.667,00:01:54.250,00:01:55.333,00:01:57.542,00:02:00.375,00:02:03.250,00:02:04.208,00:02:07.708,00:02:13.125,00:02:14.833,00:02:19.167,00:02:20.125,00:02:22.333,00:02:33.208,00:02:38.208,00:02:41.167,00:02:44.542,00:02:47.250,00:02:57.167,00:03:04.458,00:03:05.917,00:03:08.500,00:03:18.708
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,272,00:00:11.333,11.333,272,00:00:11.333,11.333
2,273,00:00:11.333,11.333,344,00:00:14.333,14.333,72,00:00:03.000,3.000
3,345,00:00:14.333,14.333,407,00:00:16.958,16.958,63,00:00:02.625,2.625
4,408,00:00:16.958,16.958,467,00:00:19.458,19.458,60,00:00:02.500,2.500
5,468,00:00:19.458,19.458,485,00:00:20.208,20.208,18,00:00:00.750,0.750
6,486,00:00:20.208,20.208,525,00:00:21.875,21.875,40,00:00:01.667,1.667
7,526,00:00:21.875,21.875,606,00:00:25.250,25.250,81,00:00:03.375,3.375
8,607,00:00:25.250,25.250,697,00:00:29.042,29.042,91,00:00:03.792,3.792
9,698,00:00:29.042,29.042,752,00:00:31.333,31.333,55,00:00:02.292,2.292
10,753,00:00:31.333,31.333,805,00:00:33.542,33.542,53,00:00:02.208,2.208
11,806,00:00:33.542,33.542,859,00:00:35.792,35.792,54,00:00:02.250,2.250
12,860,00:00:35.792,35.792,908,00:00:37.833,37.833,49,00:00:02.042,2.042
13,909,00:00:37.833,37.833,973,00:00:40.542,40.542,65,00:00:02.708,2.708
14,974,00:00:40.542,40.542,1041,00:00:43.375,43.375,68,00:00:02.833,2.833
15,1042,00:00:43.375,43.375,1062,00:00:44.250,44.250,21,00:00:00.875,0.875
16,1063,00:00:44.250,44.250,1082,00:00:45.083,45.083,20,00:00:00.833,0.833
17,1083,00:00:45.083,45.083,1142,00:00:47.583,47.583,60,00:00:02.500,2.500
18,1143,00:00:47.583,47.583,1315,00:00:54.792,54.792,173,00:00:07.208,7.208
19,1316,00:00:54.792,54.792,1471,00:01:01.292,61.292,156,00:00:06.500,6.500
20,1472,00:01:01.292,61.292,1622,00:01:07.583,67.583,151,00:00:06.292,6.292
21,1623,00:01:07.583,67.583,1696,00:01:10.667,70.667,74,00:00:03.083,3.083
22,1697,00:01:10.667,70.667,1713,00:01:11.375,71.375,17,00:00:00.708,0.708
