Timecode List:,00:00:11.333,00:00:14.333,00:00:16.958,00:00:19.458,00:00:25.292,00:00:29.042,00:00:31.333,00:00:33.542,00:00:35.792,00:00:37.833,00:00:40.542,00:00:43.417,00:00:45.083,00:00:47.583,00:00:54.792,00:01:01.292,00:01:07.542,00:01:10.667,00:01:14.375,00:01:15.542,00:01:16.708,00:01:18.042,00:01:19.625,00:01:23.042,00:01:25.000,00:01:27.958,00:01:32.333,00:01:33.958,00:01:35.958,00:01:49.708,00:01:54.208,00:01:55.333,00:01:57.042,00:02:00.417,00:02:04.583,00:02:07.708,00:02:13.125,00:02:14.792,00:02:19.167,00:02:22.542,00:02:33.208,00:02:38.208,00:02:41.167,00:02:44.583,00:02:47.250,00:02:57.250,00:03:04.458,00:03:05.958,00:03:08.458,00:03:18.708
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,272,00:00:11.333,11.333,272,00:00:11.333,11.333
2,273,00:00:11.333,11.333,344,00:00:14.333,14.333,72,00:00:03.000,3.000
3,345,00:00:14.333,14.333,407,00:00:16.958,16.958,63,00:00:02.625,2.625
4,408,00:00:16.958,16.958,467,00:00:19.458,19.458,60,00:00:02.500,2.500
5,468,00:00:19.458,19.458,607,00:00:25.292,25.292,140,00:00:05.833,5.833
6,608,00:00:25.292,25.292,697,00:00:29.042,29.042,90,00:00:03.750,3.750
7,698,00:00:29.042,29.042,752,00:00:31.333,31.333,55,00:00:02.292,2.292
8,753,00:00:31.333,31.333,805,00:00:33.542,33.542,53,00:00:02.208,2.208
9,806,00:00:33.542,33.542,859,00:00:35.792,35.792,54,00:00:02.250,2.250
10,860,00:00:35.792,35.792,908,00:00:37.833,37.833,49,00:00:02.042,2.042
11,909,00:00:37.833,37.833,973,00:00:40.542,40.542,65,00:00:02.708,2.708
12,974,00:00:40.542,40.542,1042,00:00:43.417,43.417,69,00:00:02.875,2.875
13,1043,00:00:43.417,43.417,1082,00:00:45.083,45.083,40,00:00:01.667,1.667
14,1083,00:00:45.083,45.083,1142,00:00:47.583,47.583,60,00:00:02.500,2.500
15,1143,00:00:47.583,47.583,1315,00:00:54.792,54.792,173,00:00:07.208,7.208
16,1316,00:00:54.792,54.792,1471,00:01:01.292,61.292,156,00:00:06.500,6.500
17,1472,00:01:01.292,61.292,1621,00:01:07.542,67.542,150,00:00:06.250,6.250
18,1622,00:01:07.542,67.542,1696,00:01:10.667,70.667,75,00:00:03.125,3.125
19,1697,00:01:10.667,70.667,1785,00:01:14.375,74.375,89,00:00:03.708,3.708
20,1786,00:01:14.375,74.375,1813,00:01:15.542,75.542,28,00:00:01.167,1.167
21,1814,00:01:15.542,75.542,1841,00:01:16.708,76.708,28,00:00:01.167,1.167
22,1842,00:01:16.708,76.708,1873,00:01:18.042,78.042,32,00:00:01.333,1.333
23,1874,00:01:18.042,78.042,1911,00:01:19.625,79.625,38,00:00:01.583,1.583
24,1912,00:01:19.625,79.625,1993,00:01:23.042,83.042,82,00:00:03.417,3.417
25,1994,00:01:23.042,83.042,2040,00:01:25.000,85.000,47,00:00:01.958,1.958
26,2041,00:01:25.000,85.000,2111,00:01:27.958,87.958,71,00:00:02.958,2.958
27,2112,00:01:27.958,87.958,2216,00:01:32.333,92.333,105,00:00:04.375,4.375
28,2217,00:01:32.333,92.333,2255,00:01:33.958,93.958,39,00:00:01.625,1.625
29,2256,00:01:33.958,93.958,2303,00:01:35.958,95.958,48,00:00:02.000,2.000
30,2304,00:01:35.958,95.958,2633,00:01:49.708,109.708,330,00:00:13.750,13.750
31,2634,00:01:49.708,109.708,2741,00:01:54.208,114.208,108,00:00:04.500,4.500
32,2742,00:01:54.208,114.208,2768,00:01:55.333,115.333,27,00:00:01.125,1.125
33,2769,00:01:55.333,115.333,2809,00:01:57.042,117.042,41,00:00:01.708,1.708
34,2810,00:01:57.042,117.042,2890,00:02:00.417,120.417,81,00:00:03.375,3.375
35,2891,00:02:00.417,120.417,2990,00:02:04.583,124.583,100,00:00:04.167,4.167
36,2991,00:02:04.583,124.583,3065,00:02:07.708,127.708,75,00:00:03.125,3.125
37,3066,00:02:07.708,127.708,3195,00:02:13.125,133.125,130,00:00:05.417,5.417
38,3196,00:02:13.125,133.125,3235,00:02:14.792,134.792,40,00:00:01.667,1.667
39,3236,00:02:14.792,134.792,3340,00:02:19.167,139.167,105,00:00:04.375,4.375
40,3341,00:02:19.167,139.167,3421,00:02:22.542,142.542,81,00:00:03.375,3.375
41,3422,00:02:22.542,142.542,3677,00:02:33.208,153.208,256,00:00:10.667,10.667
42,3678,00:02:33.208,153.208,3797,00:02:38.208,158.208,120,00:00:05.000,5.000
43,3798,00:02:38.208,158.208,3868,00:02:41.167,161.167,71,00:00:02.958,2.958
44,3869,00:02:41.167,161.167,3950,00:02:44.583,164.583,82,00:00:03.417,3.417
45,3951,00:02:44.583,164.583,4014,00:02:47.250,167.250,64,00:00:02.667,2.667
46,4015,00:02:47.250,167.250,4254,00:02:57.250,177.250,240,00:00:10.000,10.000
47,4255,00:02:57.250,177.250,4427,00:03:04.458,184.458,173,00:00:07.208,7.208
48,4428,00:03:04.458,184.458,4463,00:03:05.958,185.958,36,00:00:01.500,1.500
49,4464,00:03:05.958,185.958,4523,00:03:08.458,188.458,60,00:00:02.500,2.500
50,4524,00:03:08.458,188.458,4769,00:03:18.708,198.708,246,00:00:10.250,10.250
51,4770,00:03:18.708,198.708,4978,00:03:27.417,207.417,209,00:00:08.708,8.708
