Timecode List:,00:00:11.333,00:00:14.333,00:00:16.958,00:00:19.458,00:00:29.042,00:00:31.333,00:00:33.542,00:00:35.792,00:00:37.833,00:00:40.542,00:01:10.000,00:01:32.333,00:01:33.958,00:01:35.542,00:01:35.958,00:01:37.208,00:02:07.708,00:03:15.000,00:03:18.708,00:03:25.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,272,00:00:11.333,11.333,272,00:00:11.333,11.333
2,273,00:00:11.333,11.333,344,00:00:14.333,14.333,72,00:00:03.000,3.000
3,345,00:00:14.333,14.333,407,00:00:16.958,16.958,63,00:00:02.625,2.625
4,408,00:00:16.958,16.958,467,00:00:19.458,19.458,60,00:00:02.500,2.500
5,468,00:00:19.458,19.458,697,00:00:29.042,29.042,230,00:00:09.583,9.583
6,698,00:00:29.042,29.042,752,00:00:31.333,31.333,55,00:00:02.292,2.292
7,753,00:00:31.333,31.333,805,00:00:33.542,33.542,53,00:00:02.208,2.208
8,806,00:00:33.542,33.542,859,00:00:35.792,35.792,54,00:00:02.250,2.250
9,860,00:00:35.792,35.792,908,00:00:37.833,37.833,49,00:00:02.042,2.042
10,909,00:00:37.833,37.833,973,00:00:40.542,40.542,65,00:00:02.708,2.708
11,974,00:00:40.542,40.542,1680,00:01:10.000,70.000,707,00:00:29.458,29.458
12,1681,00:01:10.000,70.000,2216,00:01:32.333,92.333,536,00:00:22.333,22.333
13,2217,00:01:32.333,92.333,2255,00:01:33.958,93.958,39,00:00:01.625,1.625
14,2256,00:01:33.958,93.958,2293,00:01:35.542,95.542,38,00:00:01.583,1.583
15,2294,00:01:35.542,95.542,2303,00:01:35.958,95.958,10,00:00:00.417,0.417
16,2304,00:01:35.958,95.958,2333,00:01:37.208,97.208,30,00:00:01.250,1.250
17,2334,00:01:37.208,97.208,3065,00:02:07.708,127.708,732,00:00:30.500,30.500
18,3066,00:02:07.708,127.708,4680,00:03:15.000,195.000,1615,00:01:07.292,67.292
19,4681,00:03:15.000,195.000,4769,00:03:18.708,198.708,89,00:00:03.708,3.708
20,4770,00:03:18.708,198.708,4920,00:03:25.000,205.000,151,00:00:06.292,6.292
21,4921,00:03:25.000,205.000,4978,00:03:27.417,207.417,58,00:00:02.417,2.417
